c,l,Persian,Persian2,Problem/Question,English,MYD answer,MG answer
http://www.snik.eu/ontology/bb/Portability,Portability,قابلیت حمل,,,,,
http://www.snik.eu/ontology/bb/IndependentHealthRecordBank,Independent Health Record Bank,پایگاه داده مستقل داده های سلامت,,,,,
http://www.snik.eu/ontology/bb/SeniorPhysician,Senior Physician,پزشک ارشد ,,,,,
http://www.snik.eu/ontology/bb/SystemsReview,Systems Review,بررسی سیستم ها,,,,,
http://www.snik.eu/ontology/bb/NonexperimentalStudyDesign,Nonexperimental Study Design,طراحی مطالعه غیر تجربی,,,,,
http://www.snik.eu/ontology/bb/PatientHistory,Patient History,پیشینه بیمار,,,,,
http://www.snik.eu/ontology/bb/StorageMedium,Storage Medium,سخت افزار ذخیره سازی,,,,,
http://www.snik.eu/ontology/bb/StandardizedPhysicalDataProcessingSystem,standardized physical data processing system,سیستم پردازش داده های فیزیکی استاندارد شده,,,,,
http://www.snik.eu/ontology/bb/Icd,ICD,ICD,,,,,
http://www.snik.eu/ontology/bb/AC1Style,AC1 Style,سبک AC1,روش AC1,,,,
http://www.snik.eu/ontology/bb/ArchitecturalStyleOfThePhysicalToolLayer,Architectural Style of The Physical Tool Layer,سبک معماری لایه ابزار فیزیکی,,,,,
http://www.snik.eu/ontology/bb/EfqmExcellenceModel,EFQM Excellence Model,مدل برتری EFQM,,,,,
http://www.snik.eu/ontology/bb/Oru,ORU,ORU,,,,,
http://www.snik.eu/ontology/bb/DataReferenceModel,Data Reference Model,مدل داده مرجع ,,,,,
http://www.snik.eu/ontology/bb/ApprovalToAStudy,Approval to a Study,تصویب برای مطالعه,,,,,
http://www.snik.eu/ontology/bb/BestPracticeBenchmark,Best-Practice-Benchmark,معیار بهترین شیوه,,,,,
http://www.snik.eu/ontology/bb/InformationManagementCost,Information Management Cost,هزینه مدیریت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/ModelOfThePlannedHIS,Model of the Planned HIS,مدل HIS برنامه ریزی شده,مدل HIS برنامه ریزی شده (سیستم اطلاعاتی بیمارستان),,,,
http://www.snik.eu/ontology/bb/DigitalDictationSystem,Digital Dictation System,سیستم  دیجیتال دیکته,,,,,
http://www.snik.eu/ontology/bb/TransferDiagnosis,Transfer Diagnosis,تشخیص انتقال,,,,,
http://www.snik.eu/ontology/bb/NursingClassification,Nursing Classification,طبقه بندی پرستاری,,,,,
http://www.snik.eu/ontology/bb/Sample,Sample,نمونه,,,,,
http://www.snik.eu/ontology/bb/FunctionalPerspective,Functional Perspective,دیدگاه کاربردی,,,,,
http://www.snik.eu/ontology/bb/InternalQualityManagement,Internal Quality Management,مدیریت کیفیت داخلی,,,,,
http://www.snik.eu/ontology/bb/NetworkStandard,Network Standard,استاندارد شبکه,,,,,
http://www.snik.eu/ontology/bb/StrategicAlignmentModel,Strategic Alignment Model,مدل سازگاری استراتژیک,,,,,
http://www.snik.eu/ontology/bb/OrderEntry,Leistungsanforderung|Order Entry,عملکرد مورد نیاز/ ورودی سفارش,,,,,
http://www.snik.eu/ontology/bb/ProcessControlling,Process Controlling,کنترل فرایند,,,,,
http://www.snik.eu/ontology/bb/3LGM2,3LGMÂ²,3LGMA2,,,,,
http://www.snik.eu/ontology/bb/StaffControlling,Staff Controlling,کنترل کارکنان,,,,,
http://www.snik.eu/ontology/bb/RadiologyDepartment,Radiology Department,بخش رادیولوژی,,,,,
http://www.snik.eu/ontology/bb/BPflV,BPflV,BPflv,,,,,
http://www.snik.eu/ontology/bb/Consistency,Consistency,ثبات,استحکام,,,,
http://www.snik.eu/ontology/bb/ArchivingOfPatientInformation,Archiving of Patient Information,بایگانی اطلاعات بیمار,,,,,
http://www.snik.eu/ontology/bb/Integration,Integration,یکپارچگی,,,,,
http://www.snik.eu/ontology/bb/HisArchitecture,HIS Architecture,معماری HIS,,,,,
http://www.snik.eu/ontology/bb/DataTransmissionConnection,Data Transmission Connection|DatenÃ¼bertragungsverbindung,اتصال انتقال داده,,,,,
http://www.snik.eu/ontology/bb/Operation,Operation,عملکرد,جراحی,,,,
http://www.snik.eu/ontology/bb/Loinc,LOINC,LOINC,,,,,
http://www.snik.eu/ontology/bb/AnnualITBudget,Annual IT Budget,بودجه سالانه IT,,,,,
http://www.snik.eu/ontology/bb/Jpeg,JPEG,JPEG,,,,,
http://www.snik.eu/ontology/bb/PictureArchivingAndCommunicationSystem,Bildarchivierungs- und Kommunikationssystem|Picture Archiving and Communication System,سامانه بایگانی و تبادل تصویر,,,,,
http://www.snik.eu/ontology/bb/HL7PatientIdentification,HL7 Patient Identification,شناسایی بیمارHL7,,,,,
http://www.snik.eu/ontology/bb/Project,Project,پروژه,,,,,
http://www.snik.eu/ontology/bb/ProjectInitiation,Project Initiation,آغاز پروژه,,,,,
http://www.snik.eu/ontology/bb/QualityOfHISArchitecture,Quality of HIS Architecture,کیفیت معماری HIS,,,,,
http://www.snik.eu/ontology/bb/HospitalFunction,Hospital Function,عملکرد بیمارستان,,,,,
http://www.snik.eu/ontology/bb/MailServer,Mail Server,سرور پست الکترونیکی,,,,,
