SubjektUri,SubjektDe,SubjektEn,SubjektAltDe,SubjektAltEn,SubjektTyp,Relation,Objekt,SeiteRelation,RestrictionOnProperty,RestrictionCardinality,RestrictionObject,RestrictionType,SeiteRestriction,Definition,SeiteDefinition,Kapitel,Kommentar
ItStrategieManagement,IT-Strategiemanagement,,strategisches Informationsmanagement,,Function,,,,,,,,,"Der Begriff IT-Strategie hat im UKL sowohl die Bedeutung des Dokument ""IT Strategie"", also Strategischer Rahmenplan, als auch die Aufgabe des CIOs, sich um die IT-Strategie zu kümmern. In der CIOx Ontologie wird die Aufgabe als ItStrategyManagement bezeichnet und der Strategische Rahmenplan als ItStrategie.",,,"Begriff  ItStrategieManagement eingefügt, um die Synonyme IT-Strategie und Strategisches Informationsmanagement zu trennen"
ItStrategieManagement,,,,,Function,,,,meta:uses,,ItStrategie,someValuesFrom,,,,,
ItStrategieManagement,,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,,,,Die Aufteilung der Aufgabe ItStrategieManagement in zwei Subtasks: Erstellung der Strategie und Verwendung der Strategie hat sich so aus dem RE ergeben.
ItStrategieManagement,,,,,Function,,,,meta:functionComponent,,ItStrategieVerwendung,someValuesFrom,,,,,
ItStrategie,IT-Strategie,IT Strategy,Strategischer Rahmenplan,strategic information management plan,EntityType,,,,,,,,,,,,
ItStrategieErstellung,IT-Strategie Erstellung,,,,Function,,,,meta:functionComponent,,ItStrategieManagement,someValuesFrom,,,,,
ChiefInformationOfficer,Leiter B1,chief information officer,,CIO,Role,,,,meta:isResponsibleForFunction,,ItStrategieManagement,someValuesFrom,,,,,
ItStrategieStakeholderGenehmigung,Genehmigung IT-Strategie Stakeholder,,,,Function,,,,,,,,,"Der Lenkungsausschuss der IT-Strategie muss neu zusammengesetzt werden und dabei Stakeholder aus den Bereichen (nicht limitiert auf) Patientenversorgung, Forschung und Lehre, Informationsmanagement. 
Stakeholder benennen ihre Erwartungen und Anforderungen an die IT-Strategie aus ihren Bereichen. Präsentation und Abstimmung des Vorschlags des Lenkungsausschuss bei Auftraggeber (Vorstand und Fakultätsleitung",,,
ItStrategieErstellung,,,,,Function,,,,meta:functionComponent,,ItStrategieStakeholderGenehmigung,someValuesFrom,,,,,
Lenkungsausschuss,Lenkungsausschuss ,,,,Role,,,,meta:roleComponent,,ItStrategieStakeholder,someValuesFrom,,Der Lenkungsausschuss besteht aus ITStrategieStakeholdern,,,
StakeholderPatientenversorgung,Stakeholder aus der Patientenversorgung,,,,Role,rdfs:subClassOf,ItStrategieStakeholder,,,,,,,,,,
StakeholderForschungUndLehre,Stakeholder aus Forschung und Lehre,,,,Role,rdfs:subClassOf,ItStrategieStakeholder,,,,,,,,,,
StakeholderInformationsmanagement,Stakeholder aus dem Informationsmanagement,,,,Role,rdfs:subClassOf,ItStrategieStakeholder,,,,,,,,,,
ErwartungenFormulieren,Erwartungen an IT-Strategie formulieren,,,,Function,,,,meta:updates,,ItStrategieErwartung,someValuesFrom,,,,,
ItStrategieStakeholder,IT-Strategie Stakeholder,,Stakeholder,,Role,,,,meta:isResponsibleForFunction,,ErwartungenFormulieren,someValuesFrom,,,,,
AnforderungFormulieren,Anforderungen an IT-Strategie formulieren,,,,Function,,,,meta:updates,,ItStrategieAnforderung,someValuesFrom,,,,,
ItStrategieStakeholder,IT-Strategie Stakeholder,,,,Role,,,,meta:isResponsibleForFunction,,AnforderungFormulieren,someValuesFrom,,,,,
ItStrategieAnforderung,,,,,EntityType,,,,,,,,,,,,
ItStrategieErwartung,,,,,EntityType,,,,,,,,,,,,
ItStrategieAuftraggeber,IT-Strategie Auftraggeber,,,,Role,,,,meta:roleComponent,,Vorstand,someValuesFrom,,,,,
ItStrategieAuftraggeber,IT-Strategie Auftraggeber,,,,Role,,,,meta:roleComponent,,Fakultaetsleitung,someValuesFrom,,,,,
ItStrategieHandlungsfelder,IT-Strategie Handlungsfelder,,,,EntityType,,,,meta:entityTypeComponent,,ItStrategie,someValuesFrom,,,,,
ItStrategieHandlungsfelderPriorisierung,IT-Strategie Handlungsfelder Priorisierung,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,"Zur Erarbeitung und Priorisierung von zukünftigen IT-Strategie-Themen werden Workshops mit den Stakeholdern durchgeführt. 
Insgesamt 14 Workshops mit unterschiedlichen Themen wurden durchgeführt. Dabei wird zentral die Frage bearbeitet: „Welche Problemfelder gibt es in der Organisation über die IT?“ und: „Welche wichtigen Themen des B1 gibt es?“. Die damit gewonnenen Themen werden zu Themenbereichen gruppiert (geclustert) und zu größeren IT-Maßnahmen synthetisiert. Jede IT-Maßnahme lässt sich ein oder mehreren Unternehmenszielen zuordnen.",,,
Workshop,Workshop,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,,,,
Workshop,Workshop,,,,Function,,,,meta:functionComponent,,ItStrategieHandlungsfelderPriorisierung,,,,,,
ItMassnahme,IT-Maßnahme,,,,EntityType,,,,,,,,,,,,
ItMassnahme,IT-Maßnahme,,,,EntityType,,,,meta:entityTypeComponent,,Unternehmensziel,someValuesFrom,,,,,
ItStrategieHandlungsfelderGenehmigung,IT-Strategie Handlungsfelder Genehmigung ,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,"Das Projektteam erarbeitet Handlungsfelder (Themen) für Workshops, in denen Themen für die IT-Maßnahmen erarbeitet werden. ",,,
Workshop,Workshop,,,,Function,,,,meta:updates,,WorkshopErgebnisse,someValuesFrom,,,,,
WorkshopErgebnisse,Workshop Ergebnisse,,,,EntityType,,,,,,,,,,,,
WorkshopErgebnisseEvaluation,Workshop Ergebnisse Evaluation ,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,Die Analyse und Synthese der Workshop-Ergebnisse liefert die Liste der IT-Maßnahmen. Dies passiert in Zusammenarbeit des CIO mit dem B1 Teil des Projektteams (Abteilungsleiter,,,
WorkshopErgebnisseEvaluation,Workshop Ergebnisse Evaluation ,,,,Function,,,,meta:uses,,WorkshopErgebnisse,someValuesFrom,,,,,
ItMassnahmenDokumentation,IT Maßnahmen Dokumentation,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,"Ausgehend von den Ergebnissen der Workshops wird der Maßnahmenkatalog erstellt. IT-Maßnahmen sind große, breite Themen, die in der Strategie textuell beschrieben werden. ",,,
ItMassnahmenDokumentation,IT-Maßnahmen Dokumentation,,,,Function,,,,meta:functionComponent,,ItStrategieErstellung,someValuesFrom,,,,,
ItMassnahmenDokumentation,IT-Maßnahmen Dokumentation,,,,Function,,,,meta:uses,,WorkshopErgebnisse,someValuesFrom,,,,,
