SubjektUri,SubjektDe,SubjektEn,SubjektAltDe,SubjektAltEn,SubjektTyp ,Relation,Objekt,SeiteRelation,RestrictionOnProperty,RestrictionObject,RestrictionType,Definition,SeiteDefinition,Kapitel,Kommentar
Abgb,Allgemeines Bürgerliches Gesetzbuch (Ö),,ABGB,,EntityType,rdfs:subClassOf,Gesetz,,,,,Allgemeines Bürgerliches Gesetzbuch (Österreich).,Website;67,RECHT,
Ablauforganisation,Ablauforganisation,Organizational Structure,,,EntityType,,,18,meta:isBasedOn,ImKonzept,someValuesFrom,,,ERMOD,
AbleitenTeilstrategien,Ableiten von Teilstrategien,,,,Function,,,,,,,,117;120,,
AbstimmenUnternehmensstrategie,Abstimmen mit der Unternehmensstrategie,,,,Function,,,117,meta:uses,Wettbewerbsstrategie,someValuesFrom,,,,
AbstimmenUnternehmensstrategie,Abstimmen mit der Unternehmensstrategie,business-IT-alignment,,,Function,,,,,,,"Da die strategischen IT-Ziele mit den strategischen Unternehmenszielen bereits abgestimmt sind (vgl. Lerneinheit SZIEL), besteht grundsätzlich Verträglichkeit zwischen IT-Strategie und Unternehmens strategie. Ein zusätzlicher Abgleich hat den Vorteil, dass neben den Zielen konkrete inhaltliche Aussagen in den Strategien auf Konsistenz überprüft werden können. Damit wird sichergestellt, dass die gewählte IT -Strategie die Unternehmens strategie bestmöglich unterstützt und die Fachkonzepte rur die Entwicklung neuer bzw. die Weiterentwicklung bestehender Infrastrukturkomponenten den Technologiekonzepten entsprechen. Im Vordergrund steht das Abstimmen der IT -Strategie mit der Wettbewerbsstrategie. Darur wird das Branchenstrukturmodell nach Porter verwendet, das einen marktorientierten Strategieansatz verfolgt.",117,,
Abstraktionsprinzip,Abstraktionsprinzip,,,,EntityType,rdfs:subClassOf,Architekturprinzip,52,,,,"Das Abstraktionsprinzip verlangt, dass eine Architektur nur die für den jeweiligen Verwendungszweck relevanten Aspekte des Systems enthält und von irrelevanten Aspekten abstrahiert.",52,ARCHI,
Abstraktionsprinzip,Abstraktionsprinzip,,,,EntityType,rdfs:subClassOf,Architekturprinzip,52,,,,"Das Abstraktionsprinzip verlangt, dass eine Architektur nur die für den jeweiligen Verwendungszweck relevanten Aspekte des Systems enthält und von irrelevanten Aspekten abstrahiert.",52,ARCHI,
Abweichung,Abweichung,deviation,,,EntityType,,,,,,,Unterschied zwischen dem Wert eines Attributs im Sollzustand und dem Wert desselben Attributs im Istzustand.,199;Website,,
AcquireAndImplement,Acquire and Implement,acquire and implement,,Beschaffung und Implementierung,Function,rdfs:subClassOf,COBITAufgabenbereich,,,,,Beschaffung und Implementierung (AI - acquire and implement) stellt Lösungen (im Wesentlichen Informationssysteme ) zur Verfügung.,59,GOVER,
AdministrativeFuehrungsaufgabe,Administrative Führungsaufgabe,Administrative Management Task,,,Function,,,,,,,,31,STELL,
AdministrativeInformationsmanagementaufgabe,Administrative Informationsmanagementaufgabe,,,,Function,,,104,meta:uses,ErgebnisstrategischeZielplanung,someValuesFrom,,,,
AdministrativeInformationsmanagementaufgabe,Administrative Informationsmanagementaufgabe,,,,Function,,,,,,,,104,,
AdministrativeManagementebene,Administrative Managementebene,,,Taktische Managementebene,EntityType,rdfs:subClassOf,Managementebene,,,,,"Betrifft die Aufgabe - unabhängig von Eigenschaften und Zielen - einzelne Komponenten der Informationsfunktion (z. B. Geschäftsprozesse, Produkte) oder der Informationsinfrastruktur (z. B. Datensystem, Anwendungssystem), wird sie der administrativen Ebene zugeordnet.",24,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,Administrative Information Management,,,Function,,,24,meta:isAssociatedWith,AdministrativeManagementebene,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,Administrative Information Management Task,,,Function,,,24,meta:updates,KomponenteDerInformationsinfrastruktur,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,24,meta:uses,KomponenteDerInformationsinfrastruktur,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,25,meta:uses,StrategischerItPlan,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,rdfs:subClassOf,ImAufgabe,25,,,,,,,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,25,meta:updates,Informationssystem,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,25,meta:isDecomposedInIn,Softwareentwicklung,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,25,meta:isDecomposedInIn,EinfuehrungvonInformationssystemen,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:updates,Personal,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:uses,Personal,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:updates,Datensystem,someValuesFrom,,,ERMOD,
AdministrativesInformationsmanagement,Administratives Informationsmanagement,,,,Function,,,26,meta:uses,Datensystem,someValuesFrom,,,ERMOD,
